auto_id,quoteid,created_at,stage
982,2347717,2024-12-02 21:43:26,Add Product: Departure Transfers - Queenstown Hote
992,2347718,2024-10-06 00:23:27,Accepted - Groups
993,2347718,2024-11-28 17:35:39,Final QA
994,2347718,2024-12-02 21:35:51,Add Product: Lunch at Indian Restaurant 
995,2347718,2024-12-02 21:35:51,Add Product: Dinner art Indian Restaurant 
996,2347718,2024-12-02 21:35:51,Add Product: Everyday Water  Bottles 
997,2347718,2024-12-02 21:48:25,Add Product: Return Dinner/Lunch Transfer Upto 40-
998,2347718,2024-12-02 22:01:33,Add Product: Private Return transfers from Hotel t
999,2347719,2024-10-06 00:23:27,Accepted - Groups
1000,2347719,2024-11-28 17:35:39,Final QA
1001,2347719,2024-12-02 21:35:51,Add Product: Lunch at Indian Restaurant 
1002,2347719,2024-12-02 21:35:51,Add Product: Dinner art Indian Restaurant 
1003,2347719,2024-12-02 21:35:51,Add Product: Everyday Water  Bottles 
1004,2347719,2024-12-02 21:48:25,Add Product: Return Dinner/Lunch Transfer Upto 40-
1005,2347719,2024-12-02 22:01:33,Add Product: Private Return transfers from Hotel t
1006,2347720,2024-10-06 00:23:27,Accepted - Groups
1007,2347720,2024-11-28 17:35:39,Final QA
1008,2347720,2024-12-02 21:35:51,Add Product: Lunch at Indian Restaurant 
1009,2347720,2024-12-02 21:35:51,Add Product: Dinner art Indian Restaurant 
1010,2347720,2024-12-02 21:35:51,Add Product: Everyday Water  Bottles 
1011,2347720,2024-12-02 21:48:25,Add Product: Return Dinner/Lunch Transfer Upto 40-
1012,2347720,2024-12-02 22:01:33,Add Product: Private Return transfers from Hotel t
1026,2347722,2024-10-02 13:26:09,Accepted - Groups
1027,2347722,2024-10-08 18:30:13,Accepted - Partial Land Booking Done
1028,2347722,2024-11-01 18:48:13,Accepted - Groups
1029,2347722,2024-12-02 22:34:05,Add Product: Hotel with Breakfast
1078,2347724,2024-12-02 23:18:38,New Quote with Stage Created
1079,2347724,2024-12-02 23:23:23,Add Product: Arrival Transfer - Sydney Airport to 
1080,2347724,2024-12-02 23:23:23,Add Product: Lunch @ The Grand Palace
1081,2347724,2024-12-02 23:23:23,Add Product: Sydney Central Hotel by Ascott with B
1082,2347724,2024-12-02 23:27:44,Add Product: Indian Dinner @ Curry Craze
